"Date Administered",AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,id
"08/18/2022 12:00:00 AM","12 - 17 Years",17.298957664848466,0.707,0.605,275
"08/05/2022 12:00:00 AM","65+ Years",33.357659732003285,0.95,0.92,276
"08/18/2022 12:00:00 AM","18 - 24 Years",22.156202818262567,0.799,0.651,277
"08/04/2022 12:00:00 AM","<2 Years",26.835807721214746,0.031,0.004,278
"08/18/2022 12:00:00 AM","25 - 49 Years",25.142050222585635,0.834,0.706,279
"08/18/2022 12:00:00 AM","50 - 64 Years",23.624010958086664,0.941,0.824,280
"08/18/2022 12:00:00 AM","65+ Years",26.64770363466121,0.95,0.921,281
"08/17/2022 12:00:00 AM","<2 Years",23.870839856871566,0.036,0.007,282
"08/17/2022 12:00:00 AM","2 - 4 Years",26.475329945069017,0.06,0.013,283
"08/17/2022 12:00:00 AM","5 - 11 Years",18.74070874259863,0.38,0.309,284
"08/17/2022 12:00:00 AM","12 - 17 Years",17.884859707040867,0.707,0.605,285
"08/17/2022 12:00:00 AM","18 - 24 Years",23.347498181880002,0.799,0.651,286
"08/17/2022 12:00:00 AM","25 - 49 Years",26.544070490536672,0.834,0.706,287
"08/17/2022 12:00:00 AM","50 - 64 Years",24.987297034286808,0.941,0.824,288
"08/17/2022 12:00:00 AM","65+ Years",28.210303390621338,0.95,0.921,289
"08/16/2022 12:00:00 AM","<2 Years",24.622609068925165,0.036,0.006,290
"08/16/2022 12:00:00 AM","2 - 4 Years",27.718803573728994,0.059,0.012,291
"08/16/2022 12:00:00 AM","5 - 11 Years",18.5774927728973,0.379,0.309,292
"08/16/2022 12:00:00 AM","12 - 17 Years",17.77635932885709,0.707,0.605,293
"08/04/2022 12:00:00 AM","2 - 4 Years",28.5377197777465,0.052,0.008,294
"08/04/2022 12:00:00 AM","5 - 11 Years",14.476001005048788,0.376,0.306,295
"08/04/2022 12:00:00 AM","12 - 17 Years",14.123322911795867,0.705,0.604,296
"08/04/2022 12:00:00 AM","18 - 24 Years",30.27970263112047,0.797,0.649,297
"08/04/2022 12:00:00 AM","25 - 49 Years",33.7217687431604,0.833,0.706,298
"08/04/2022 12:00:00 AM","50 - 64 Years",31.281342525805993,0.94,0.823,299
"07/25/2022 12:00:00 AM","65+ Years",37.674695012464085,0.95,0.919,300
"07/24/2022 12:00:00 AM","<2 Years",29.899855547607824,0.025,0.001,301
"07/24/2022 12:00:00 AM","2 - 4 Years",33.24337926677547,0.042,0.003,302
"07/24/2022 12:00:00 AM","5 - 11 Years",16.369808456567917,0.373,0.304,303
"07/24/2022 12:00:00 AM","12 - 17 Years",15.778239206409504,0.704,0.603,304
"07/24/2022 12:00:00 AM","18 - 24 Years",34.360361987765565,0.795,0.648,305
"07/24/2022 12:00:00 AM","25 - 49 Years",38.78552361413252,0.832,0.705,306
"08/04/2022 12:00:00 AM","65+ Years",33.39439258606695,0.95,0.92,307
"07/24/2022 12:00:00 AM","50 - 64 Years",35.58800978067971,0.939,0.822,308
"08/03/2022 12:00:00 AM","<2 Years",27.50212046600031,0.03,0.004,309
"07/24/2022 12:00:00 AM","65+ Years",37.24315004350029,0.95,0.919,310
"08/03/2022 12:00:00 AM","2 - 4 Years",29.212748319019056,0.051,0.007,311
"07/23/2022 12:00:00 AM","<2 Years",30.04352149258018,0.025,0.001,312
"08/03/2022 12:00:00 AM","5 - 11 Years",14.741164180440487,0.376,0.306,313
"07/23/2022 12:00:00 AM","2 - 4 Years",33.51161429238641,0.042,0.003,314
"08/03/2022 12:00:00 AM","12 - 17 Years",14.234107508467726,0.705,0.604,315
